ind;Corpus;Volume;Date;Type1
_iiif_2_illum__IllUrk__1160_nach__Erfurter-Judeneid%20001.jpg_full_full_0_default.jpg;MOMCA;;1230;
_iiif_2_illum__IllUrk__1160_nach__Erfurter-Judeneid_Erfurt-StA_0-0%20A%20XLVII%201.jpg_full_full_0_default.jpg;MOMCA;;1230;
_iiif_2_illum__IllUrk__1287-03-14_f-Gerolding_OeStA-HHStA_AUR-AggsbachOCart_1287031401.jpg_full_full_0_default.jpg;MOMCA;;1287;
_iiif_2_illum__IllUrk__1344-06-27_fuer%20Baumgartenberg_Ebner-Johannes_Von-Avignon-nach-Baumgartenberg_JOM_157_0169-0172.jpg_full_full_0_default.jpg;MOMCA;;1344;
_iiif_2_illum__IllUrk__1353-06-02_Thueringisches-Staatsarchiv-Rudolstadt-Sondershaeuser-Urkunden_1353-Juni-2-Reg-717-kl.jpg_full_full_0_default.jpg;MOMCA;;1353;
_iiif_2_illum__IllUrk__1382-07-23_Urban-f-Goettweig_Stefano-d-Aquila_MOM-Bilddateien.jpg_full_full_0_default.jpg;MOMCA;;1382;Pape
_iiif_2_illum__IllUrk__1383-11-18_Bonifaz-f-Goettweig_Stefano-d-Aquila_MOM-Bilddateien.jpg_full_full_0_default.jpg;MOMCA;;1403;Pape
_iiif_2_illum__IllUrk__1390-12-08_Bonifaz_Stefano-d-Aquila_StiAH_HeiligenkreuzOCist_13901208-1.jpg_full_full_0_default.jpg;MOMCA;;1390;Pape
_iiif_2_illum__IllUrk__1390-12-08_Bonifaz_Stefano-d-Aquila_StiAH_HeiligenkreuzOCist_13901208-2.jpg_full_full_0_default.jpg;MOMCA;;1390;
_iiif_2_illum__IllUrk__1396-12-08_Bonifaz_S-d-Aquila_Goettweigjpgweb_StAG__13961208-1.jpg_full_full_0_default.jpg;MOMCA;;1396;Pape
_iiif_2_illum__IllUrk__1396-12-08_Bonifaz_S-d-Aquila_Goettweigjpgweb_StAG__13961208-2.jpg_full_full_0_default.jpg;MOMCA;;1396;Pape
_iiif_2_illum__IllUrk__1400-07-07_Bonifaz-f-Heiligenkreuz_StiAH_HeiligenkreuzOCist.jpg_full_full_0_default.jpg;MOMCA;;1400;Pape
_iiif_2_illum__IllUrk__1402-04-13_Bonfaz_MOM-StAG.jpg_full_full_0_default.jpg;MOMCA;;1402;Pape
_iiif_2_illum__IllUrk__1435-02-20_konzil-basel_Poignare_Heilenkreuz.jpg_full_full_0_default.jpg;MOMCA;;1435;
_iiif_2_illum__IllUrk__1465-05-99_Ludwig-XI-Wappen-f-Medici--.jpg_full_full_0_default.jpg;MOMCA;;1465;
_iiif_2_illum__IllUrk__1537-12-07_Carlos-i-Wappen-f-Trijillo-in-Peru-a.jpg_full_full_0_default.jpg;MOMCA;;1537;
_iiif_2_illum__IllUrk__1537-12-07_Carlos-i-Wappen-f-Trijillo-in-Peru-b.jpg_full_full_0_default.jpg;MOMCA;;1537;
_iiif_2_illum__IllUrk__1551-08-01_Ferd-I-Juden_AT-OeStA_HHStA_StK_Patente_2-111_Druck.jpg_full_full_0_default.jpg;MOMCA;;1551;Empereur
_iiif_2_img__AT-ADG__oSign89.jpg_full_full_0_default.jpg;MOMCA;;;
_iiif_2_img__AT-DAL__Urkunden__DAL_13360810_UrkM-19_001_r.jpg_full_full_0_default.jpg;MOMCA;;1336;
_iiif_2_img__AT-DAL__Urkunden__DAL_13720229_UrkM-19_002_r.jpg_full_full_0_default.jpg;MOMCA;;1372;
_iiif_2_img__AT-DAL__Urkunden__DAL_13721010_UrkM-19_003_r.jpg_full_full_0_default.jpg;MOMCA;;1372;
_iiif_2_img__AT-DAL__Urkunden__DAL_13770202_UrkM-19_004_r.jpg_full_full_0_default.jpg;MOMCA;;1377;
_iiif_2_img__AT-DAL__Urkunden__DAL_17850214_UrkBi-A-01_016_r.jpg_full_full_0_default.jpg;MOMCA;;1785;Pape
_iiif_2_img__AT-DASP__Urkunden__DASP___16661215-3.jpg_full_full_0_default.jpg;MOMCA;;1666;Pape
_iiif_2_img__AT-DASP__Urkunden__DASP___16661215-4.jpg_full_full_0_default.jpg;MOMCA;;1666;Pape
_iiif_2_img__AT-DASP__Urkunden__DASP___16661216.jpg_full_full_0_default.jpg;MOMCA;;1666;Pape
_iiif_2_img__AT-DASP__Urkunden__DASP__14950512.jpg_full_full_0_default.jpg;MOMCA;;1495;
_iiif_2_img__AT-DAW__Urkunden__DAW_13591212_r.jpg_full_full_0_default.jpg;MOMCA;;1359;
_iiif_2_img__AT-DAW__Urkunden__DAW_13630520_r.jpg_full_full_0_default.jpg;MOMCA;;1363;
_iiif_2_img__AT-DAW__Urkunden__DAW_13661221_r.jpg_full_full_0_default.jpg;MOMCA;;1366;
_iiif_2_img__AT-DAW__Urkunden__DAW_13680504_r.jpg_full_full_0_default.jpg;MOMCA;;1368;
_iiif_2_img__AT-DAW__Urkunden__DAW_13950814_r.jpg_full_full_0_default.jpg;MOMCA;;1395;
_iiif_2_img__AT-DAW__Urkunden__DAW_14101130_r.jpg_full_full_0_default.jpg;MOMCA;;1410;Pape
_iiif_2_img__AT-DAW__Urkunden__DAW_14930209_2_r.jpg_full_full_0_default.jpg;MOMCA;;1493;
_iiif_2_img__AT-DAW__Urkunden__DAW_14970227_r.jpg_full_full_0_default.jpg;MOMCA;;1497;
_iiif_2_img__AT-DAW__Urkunden__DAW_14990413_r.jpg_full_full_0_default.jpg;MOMCA;;1499;
_iiif_2_img__AT-DAW__Urkunden__DAW_15011201_r-1.jpg_full_full_0_default.jpg;MOMCA;;1501;
_iiif_2_img__AT-DAW__Urkunden__DAW_15011201_r-2.jpg_full_full_0_default.jpg;MOMCA;;1501;
_iiif_2_img__AT-DAW__Urkunden__DAW_15040831_r.jpg_full_full_0_default.jpg;MOMCA;;1504;
_iiif_2_img__AT-DAW__Urkunden__DAW_15160919_r.jpg_full_full_0_default.jpg;MOMCA;;1516;
_iiif_2_img__AT-KLA__418__KLA_418-B_A1079_14600821_r.JPG_full_full_0_default.jpg;MOMCA;;1460;
_iiif_2_img__AT-KLA__418__KLA_418-B_A1125_14641211_r.JPG_full_full_0_default.jpg;MOMCA;;1464;
_iiif_2_img__AT-KLA__418__KLA_418-B_A1125_14641211_v.JPG_full_full_0_default.jpg;MOMCA;;1464;
_iiif_2_img__AT-KLA__418__KLA_418-B_A938_14470304_r.JPG_full_full_0_default.jpg;MOMCA;;1447;
_iiif_2_img__AT-NOeLA__StA_Urk__StA-Urk_0683_r.jpg_full_full_0_default.jpg;MOMCA;;1366;
_iiif_2_img__AT-NOeLA__StA_Urk__StA-Urk-1067r.jpg_full_full_0_default.jpg;MOMCA;;1382;
_iiif_2_img__AT-NOeLA__StA_Urk__StA-Urk-812r.jpg_full_full_0_default.jpg;MOMCA;;1371;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__HHStA_13800113_AUR_r.jpg_full_full_0_default.jpg;MOMCA;;1380;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1287031401.jpg_full_full_0_default.jpg;MOMCA;;1287;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1318070401.jpg_full_full_0_default.jpg;MOMCA;;1318;Pape
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1319040301.jpg_full_full_0_default.jpg;MOMCA;;1319;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1374031001.jpg_full_full_0_default.jpg;MOMCA;;1374;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1374040401.jpg_full_full_0_default.jpg;MOMCA;;1374;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1376082701.jpg_full_full_0_default.jpg;MOMCA;;1376;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1380100901.jpg_full_full_0_default.jpg;MOMCA;;1380;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_13810415-101.jpg_full_full_0_default.jpg;MOMCA;;1381;Pape
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_13810415-1-201.jpg_full_full_0_default.jpg;MOMCA;;1381;Pape
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1383102801.jpg_full_full_0_default.jpg;MOMCA;;1383;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1385020201.jpg_full_full_0_default.jpg;MOMCA;;1385;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1385021201.jpg_full_full_0_default.jpg;MOMCA;;1385;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_13880617-101.jpg_full_full_0_default.jpg;MOMCA;;1388;Pape
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_13880617-1-201.jpg_full_full_0_default.jpg;MOMCA;;1388;Pape
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1388122101.jpg_full_full_0_default.jpg;MOMCA;;1388;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1393012701.jpg_full_full_0_default.jpg;MOMCA;;1393;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1395010601.jpg_full_full_0_default.jpg;MOMCA;;1395;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1397011701.jpg_full_full_0_default.jpg;MOMCA;;1397;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1398032401.jpg_full_full_0_default.jpg;MOMCA;;1398;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1399021401.jpg_full_full_0_default.jpg;MOMCA;;1399;Pape
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1402_01_1701.jpg_full_full_0_default.jpg;MOMCA;;1701;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1402_08_1301.jpg_full_full_0_default.jpg;MOMCA;;1301;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1408_02_0201.jpg_full_full_0_default.jpg;MOMCA;;1408;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1419_03_1201.jpg_full_full_0_default.jpg;MOMCA;;1201;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1419_03_12v01.jpg_full_full_0_default.jpg;MOMCA;;1419;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1419_04_2201.jpg_full_full_0_default.jpg;MOMCA;;1419;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1419111901.jpg_full_full_0_default.jpg;MOMCA;;1419;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1423_04_2201.jpg_full_full_0_default.jpg;MOMCA;;1423;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1429_01_2801.jpg_full_full_0_default.jpg;MOMCA;;1429;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_14291031-101.jpg_full_full_0_default.jpg;MOMCA;;1429;Pape
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1430_09_0501.jpg_full_full_0_default.jpg;MOMCA;;1430;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1432_04_2401.jpg_full_full_0_default.jpg;MOMCA;;1432;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1437_04_0401.jpg_full_full_0_default.jpg;MOMCA;;1437;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1438_01_2701.jpg_full_full_0_default.jpg;MOMCA;;1438;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1441_12_0401.jpg_full_full_0_default.jpg;MOMCA;;1441;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1441_12_2201.jpg_full_full_0_default.jpg;MOMCA;;1441;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1442_03_2301.jpg_full_full_0_default.jpg;MOMCA;;1442;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1443_01_1701.jpg_full_full_0_default.jpg;MOMCA;;1443;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1443_07_2001.jpg_full_full_0_default.jpg;MOMCA;;1443;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1443_08_1301.jpg_full_full_0_default.jpg;MOMCA;;1443;Pape
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1443_08_1401.jpg_full_full_0_default.jpg;MOMCA;;1443;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1448_09_1301.jpg_full_full_0_default.jpg;MOMCA;;1448;Cardinal
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1449_09_0201.jpg_full_full_0_default.jpg;MOMCA;;1449;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1450_06_2001.jpg_full_full_0_default.jpg;MOMCA;;1450;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1452_03_1001.jpg_full_full_0_default.jpg;MOMCA;;1452;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1453_03_1601.jpg_full_full_0_default.jpg;MOMCA;;1453;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1457_04_0701.jpg_full_full_0_default.jpg;MOMCA;;1457;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1457_06_2101.jpg_full_full_0_default.jpg;MOMCA;;1457;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1459_02_2501.jpg_full_full_0_default.jpg;MOMCA;;1459;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1495_01_3001.jpg_full_full_0_default.jpg;MOMCA;;1495;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1500_06_1901.jpg_full_full_0_default.jpg;MOMCA;;1500;Pape
_iiif_2_img__AT-OeStA-HHStA__AUR-AltenburgOSB__OeStA-HHStA_AUR-AltenburgOSB_12820905.jpg_full_full_0_default.jpg;MOMCA;;1282;Pape
_iiif_2_img__AT-OeStA-HHStA__AUR-AltenburgOSB__OeStA-HHStA_AUR-AltenburgOSB_13080101-2.jpg_full_full_0_default.jpg;MOMCA;;1308;Pape
_iiif_2_img__AT-OeStA-HHStA__AUR-TegernseeOSB__HHSTA_Tegernsee_1456_11_27.jpg_full_full_0_default.jpg;MOMCA;;1456;Pape
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_11440725.jpg_full_full_0_default.jpg;MOMCA;;1144;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_1200-1204.jpg_full_full_0_default.jpg;MOMCA;;1204;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_1210.jpg_full_full_0_default.jpg;MOMCA;;1210;
